"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,
"World Fertility Data 2012
ANNUAL NUMBER OF BIRTHS AND CRUDE BIRTH RATE

Copyright ? 2013 by United Nations. All rights reserved.
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2013). World Fertility Data 2012 (POP/DB/Fert/Rev2012).",,,,,,,,,,,,,,,,
Country,ISO code,Period,Reference,,Number of births,"Crude birth rate
(per thousand)",Source type,Source,,Survey name,Note on country or population,Note on definition of live birth,Note on methods,Additional note,Note on population data used in denominator,
,,,Year,Period,,,,"Number of 
births",Crude birth rate,,,,,,,
Benin,204,Latest,2005,2003-2006,"316,801",41.5,Survey,,DHS,Benin 2006 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bermuda,60,Around 1970,1970,,"1,062",20.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bermuda,60,Around 1985,1985,,914,16.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bermuda,60,Around 1995,1995,,832,13.6,Registration,UNSD,,,Excluding live births to non-residents.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bermuda,60,Around 2005,2005,,835,13.1,Registration,UNSD,,,Excluding live births to non-residents.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bermuda,60,Latest,2009,,819,12.7,Registration,UNSD,,,Excluding live births to non-residents.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bhutan,64,Around 1985,1984,,"18,645",39.1,Survey,,National statistics,Bhutan 1984 Demographic Sample Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bhutan,64,Around 1995,1993,1992-1994,"21,302",39.9,Survey,,National statistics,Bhutan 1994 National Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bhutan,64,Around 2005,2000,1999-2000,"19,474",34.1,Survey,,National statistics,Bhutan 2000 National Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bhutan,64,Latest,2005,,"12,538",19.0,Census,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bolivia (Plurinational State of),68,Around 1970,1975,,"221,879",46.6,Survey,,National statistics,Bolivia 1975 Encuesta Demogr¨¢fica Nacional,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bolivia (Plurinational State of),68,Around 1985,1980,,"215,176",40.2,Survey,,National statistics,Bolivia 1980 Encuesta Demogr¨¢fica Nacional,,,Adjusted estimate.,,Population data are national estimates published by the United Nations Statistics Division.,
Bolivia (Plurinational State of),68,Around 1995,1996,1995-1998,"234,475",30.7,Survey,,DHS,Bolivia 1998 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bolivia (Plurinational State of),68,Around 2005,2002,2000-2003,"242,971",28.1,Survey,,DHS,Bolivia 2003 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Bolivia (Plurinational State of),68,Latest,2006,2005-2008,"237,320",25.5,Survey,,DHS,Bolivia 2008 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
