"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,
"World Fertility Data 2012
ANNUAL NUMBER OF BIRTHS AND CRUDE BIRTH RATE

Copyright ? 2013 by United Nations. All rights reserved.
Suggested citation: United Nations, Department of Economic and Social Affairs, Population Division (2013). World Fertility Data 2012 (POP/DB/Fert/Rev2012).",,,,,,,,,,,,,,,,
Country,ISO code,Period,Reference,,Number of births,"Crude birth rate
(per thousand)",Source type,Source,,Survey name,Note on country or population,Note on definition of live birth,Note on methods,Additional note,Note on population data used in denominator,
,,,Year,Period,,,,"Number of 
births",Crude birth rate,,,,,,,
Malaysia,458,Latest,2009,,"496,313",17.8,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Maldives,462,Around 1970,1974,,"5,002",38.9,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Maldives,462,Around 1985,1985,,"8,968",48.0,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Maldives,462,Around 1995,1995,,"6,849",27.5,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Maldives,462,Around 2005,2005,,"5,543",18.8,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Maldives,462,Latest,2010,,"7,115",22.5,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mali,466,..,1961,1960-1961,"292,278",55.0,Survey,,National statistics,Mali 1960-1961 Enqu¨ºte d¨¦mographique,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mali,466,Around 1985,1987,,"384,852",46.6,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mali,466,Around 1995,1994,1993-1996,"435,172",45.5,Survey,,DHS,Mali 1995-1996 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mali,466,Around 2005,2005,2003-2006,"595,584",45.2,Survey,,DHS,Mali 2006 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mali,466,Latest,2009,,"666,216",45.9,Census,,National statistics,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Malta,470,Around 1970,1970,,"5,314",16.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Malta,470,Around 1985,1985,,"5,587",16.0,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Malta,470,Around 1995,1990,,"5,368",15.1,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Malta,470,Around 2005,2005,,"3,858",9.6,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Malta,470,Latest,2011,,"4,283",10.2,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Marshall Islands,584,Around 1970,1973,,"1,080",46.1,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Marshall Islands,584,Around 1985,1985,,"1,520",39.7,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,Data are incomplete or of questionable reliability.,Population data are national estimates published by the United Nations Statistics Division.,
Marshall Islands,584,Around 1995,1995,,"1,476",28.9,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,Data are incomplete or of questionable reliability.,Population data are national estimates published by the United Nations Statistics Division.,
Marshall Islands,584,Around 2005,2005,,"1,589",30.5,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,Data are incomplete or of questionable reliability.,Population data are national estimates published by the United Nations Statistics Division.,
Marshall Islands,584,Latest,2006,,"1,576",30.2,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,Data are incomplete or of questionable reliability.,Population data are national estimates published by the United Nations Statistics Division.,
Martinique,474,Around 1970,1970,,"9,275",28.5,Registration,UNSD,,,,Excluding live-born infants who died before their birth was registered.,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Martinique,474,Around 1985,1985,,"5,711",16.9,Registration,UNSD,,,,Excluding live-born infants who died before their birth was registered.,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Martinique,474,Around 1995,1995,,"5,644",15.3,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Martinique,474,Around 2005,2005,,"5,032",12.7,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Martinique,474,Latest,2010,,"4,889",12.0,Registration,UNSD,,,,Excluding live-born infants who died before their birth was registered.,,,Population data are national estimates published by the United Nations Statistics Division.,
Mauritania,478,..,1977,,"67,059",48.2,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mauritania,478,..,1979,1976-1981,"67,094",45.5,Survey,,WFS,Mauritania 1981 World Fertility Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mauritania,478,Around 1995,1999,1997-2000,"80,370",31.3,Survey,,DHS,Mauritania 2000-2001 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mauritania,478,Latest,2000,,"76,955",29.1,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mauritius,480,Around 1970,1970,,"22,212",26.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mauritius,480,Around 1985,1985,,"19,103",18.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mauritius,480,Around 1995,1995,,"20,604",18.4,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mauritius,480,Around 2005,2005,,"18,820",15.1,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mauritius,480,Latest,2010,,"15,005",11.7,Registration,UNSD,,,Excludes the islands of St. Brandon and Agalega.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mayotte,175,..,1978,1977-1978,"2,630",56.0,Census,,National statistics,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mayotte,175,Around 1985,1985,1984-1985,"3,085",43.5,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mayotte,175,Around 1995,1996,,"5,342",43.0,Registration,National statistics,National statistics,,,,,,,
Mayotte,175,Around 2005,2003,,"7,197",38.7,Registration,National statistics,National statistics,,,,,,,
Mayotte,175,Latest,2004,,"7,452",39.0,Registration,National statistics,National statistics,,,,,,,
Mexico,484,Around 1970,1970,,"2,132,630",41.1,Registration,UNSD,,,,,Data are incomplete or of questionable reliability.,,Population data are national estimates published by the United Nations Statistics Division.,
Mexico,484,Around 1985,1985,,"2,655,571",34.9,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,Data are incomplete or of questionable reliability.,Population data are national estimates published by the United Nations Statistics Division.,
Mexico,484,Around 1995,1995,,"2,750,444",29.8,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,Data are incomplete or of questionable reliability.,Population data are national estimates published by the United Nations Statistics Division.,
Mexico,484,Around 2005,2005,,"2,567,906",24.1,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,Data are incomplete or of questionable reliability.,Population data are national estimates published by the United Nations Statistics Division.,
Mexico,484,Latest,2008,,"2,243,145",21.0,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,Data are incomplete or of questionable reliability.,Population data are national estimates published by the United Nations Statistics Division.,
Micronesia (Federated States of),583,Around 1970,1973,,"2,551",41.0,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Micronesia (Federated States of),583,Around 1985,1980,,"2,765",37.9,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Micronesia (Federated States of),583,Around 1995,1994,,"2,856",27.0,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Micronesia (Federated States of),583,Around 2005,2002,,"2,452",22.8,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Micronesia (Federated States of),583,Latest,2003,,"2,485",22.9,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Monaco,492,Around 1970,1970,,214,9.0,Registration,UNSD,,,,,There is no information on the reliability of the data.,,Population data are national estimates published by the United Nations Statistics Division.,
Monaco,492,Around 1985,1983,,529,19.3,Registration,UNSD,,,,,There is no information on the reliability of the data.,,Population data are national estimates published by the United Nations Statistics Division.,
Monaco,492,Around 1995,1995,,830,25.1,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Monaco,492,Around 2005,2005,,894,25.4,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Monaco,492,Latest,2006,,880,25.0,Registration,UNSD,,,Including live births to residents outside of the country.,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mongolia,496,Around 1970,1970,,"50,152",41.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mongolia,496,Around 1985,1985,,"69,600",38.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mongolia,496,Around 1995,1995,,"54,293",24.4,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mongolia,496,Around 2005,2006,,"49,092",19.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Mongolia,496,Latest,2010,,"63,270",22.9,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Montenegro,499,Around 1970,1970,,"10,636",20.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Montenegro,499,Around 1985,1985,,"10,724",17.5,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Montenegro,499,Around 1995,1995,,"9,492",14.9,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Montenegro,499,Around 2005,2005,,"7,352",11.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Montenegro,499,Latest,2011,,"7,215",11.4,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Montserrat,500,Around 1970,1970,,302,26.9,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Montserrat,500,Around 1985,1985,,237,20.0,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Montserrat,500,Around 1995,1995,,126,12.2,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Montserrat,500,Around 2005,2004,,47,10.0,Registration,CARICOM,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Montserrat,500,Latest,2008,,72,14.8,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Morocco,504,Around 1970,1972,1975-1980,"773,093",48.0,Survey,,National statistics,Morocco 1972-1973 Recording of Births and Deaths,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Morocco,504,Around 1985,1988,,"752,950",31.6,Survey,,National statistics,Morocco 1986-1988 Enqu¨ºte nationale d¨¦mographique ¨¤ passages r¨¦p¨¦t¨¦s,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Morocco,504,Around 1995,1997,,"653,924",23.6,Survey,,PAPCHILD,Morocco 1997 Enqu¨ºte nationale sur la sant¨¦ de la m¨¨re et de l'enfant,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Morocco,504,Around 2005,2002,2000-2003,"621,478",21.1,Survey,,DHS,Morocco 2003-2004 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Morocco,504,Latest,2005,,"543,780",17.9,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mozambique,508,Around 1970,1970,,"453,762",48.0,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mozambique,508,Around 1985,1980,,"570,838",47.0,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mozambique,508,Around 1995,1995,1994-1997,"624,591",39.2,Survey,,DHS,Mozambique 1997 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mozambique,508,Around 2005,2002,2000-2003,"771,841",40.2,Survey,,DHS,Mozambique 2003 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Mozambique,508,Latest,2010,2008-2011,"973,056",41.6,Survey,,DHS,Mozambique 2011 Demographic and Health Survey,,,Provisional figure.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Myanmar,104,Around 1970,1973,,"1,109,529",39.4,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Myanmar,104,Around 1985,1983,,"1,212,176",34.8,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Myanmar,104,..,1997,,"971,089",22.4,Survey,,National statistics,Myanmar 1997 Fertility and Reproductive Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Myanmar,104,Around 2005,2001,,"897,413",19.8,Survey,,National statistics,Myanmar 2001 Fertility and Reproductive Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Myanmar,104,Latest,2007,,"811,644",17.3,Survey,,National statistics,Myanmar  2007  Fertility and Reproductive Health Survey,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Namibia,516,Around 1995,1991,1989-1992,"56,703",38.7,Survey,,DHS,Namibia 1992 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Namibia,516,..,1999,1997-2000,"56,456",30.5,Survey,,DHS,Namibia 2000 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Namibia,516,Around 2005,2001,,"45,157",23.3,Census,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Namibia,516,Latest,2005,2003-2006,"60,735",29.2,Survey,,DHS,Namibia 2006-2007 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nauru,520,Around 1970,1975,,158,22.3,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nauru,520,Around 1995,1995,,232,23.3,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nauru,520,Around 2005,2002,,219,21.8,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nauru,520,Latest,2006,2004-2007,312,30.8,Survey,,DHS,Nauru 2007 Demographic Health Survey (National),,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nepal,524,Around 1970,1971,,"511,979",42.0,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nepal,524,Around 1985,1986,,"676,315",39.0,Survey,,National statistics,Nepal 1986 Fertility and Family Planning Survey,,,Adjusted estimate.,,Population data are national estimates published by the United Nations Statistics Division.,
Nepal,524,Around 1995,1994,1993-1996,"783,586",37.2,Survey,,DHS,Nepal 1996 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nepal,524,Around 2005,2004,2003-2006,"758,788",28.4,Survey,,DHS,Nepal 2006 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nepal,524,Latest,2009,2008-2011,"715,216",24.3,Survey,,DHS,Nepal 2011 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Netherlands,528,Around 1970,1970,,"238,912",18.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Netherlands,528,Around 1985,1985,,"178,136",12.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Netherlands,528,Around 1995,1995,,"190,513",12.3,Registration,UNSD,,,Including live births to women listed in the population register residing outside of the country. ,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Netherlands,528,Around 2005,2005,,"187,910",11.5,Registration,UNSD,,,Including live births to women listed in the population register residing outside of the country. ,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Netherlands,528,Latest,2011,,"179,448",10.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Netherlands Antilles,530,Around 1970,1970,,"4,748",29.8,Registration,UNSD,,,Including live births to women listed in the population register residing outside of the country. ,Excluding live-born infants who died before their birth was registered.,,,Population data are national estimates published by the United Nations Statistics Division.,
Netherlands Antilles,530,Around 1985,1986,,"3,659",19.9,Registration,UNSD,,,Including live births to women listed in the population register residing outside of the country. ,Excluding live-born infants who died before their birth was registered.,,,Population data are national estimates published by the United Nations Statistics Division.,
Netherlands Antilles,530,Around 1995,1995,,"3,753",19.7,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Netherlands Antilles,530,Around 2005,2006,,"2,578",13.7,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Netherlands Antilles,530,Latest,2009,,"2,661",13.4,Registration,UNSD,,,Data refer to resident population only.,,,,Population data are national estimates published by the United Nations Statistics Division.,
New Caledonia,540,Around 1970,1970,,"3,922",37.3,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
New Caledonia,540,Around 1985,1985,,"3,619",23.4,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
New Caledonia,540,Around 1995,1995,,"4,242",22.2,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
New Caledonia,540,Around 2005,2005,,"4,035",17.5,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
New Caledonia,540,Latest,2010,,"4,178",16.7,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
New Zealand,554,Around 1970,1970,,"62,207",22.1,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
New Zealand,554,Around 1985,1985,,"51,798",16.0,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
New Zealand,554,Around 1995,1995,,"57,671",15.7,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
New Zealand,554,Around 2005,2005,,"57,745",14.0,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
New Zealand,554,Latest,2011,,"61,403",13.9,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Nicaragua,558,Around 1970,1971,,"123,624",50.0,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nicaragua,558,Around 1985,1985,,"166,350",45.0,Survey,,National statistics,Nicaragua 1985-1986 Encuesta Socio-demogr¨¢fica,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nicaragua,558,Around 1995,1996,1995-1998,"139,155",29.4,Survey,,DHS,Nicaragua 1998 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nicaragua,558,Around 2005,2000,1998-2001,"136,483",26.9,Survey,,DHS,Nicaragua 2001 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nicaragua,558,Latest,2005,,"123,432",22.8,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Niger,562,..,1977,,"290,582",54.0,Census,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Niger,562,Around 1985,1988,,"381,520",52.0,Census,,National statistics,,,,Adjusted estimate.,,Population data are national estimates published by the United Nations Statistics Division.,
Niger,562,Around 1995,1996,1995-1998,"491,144",51.7,Survey,,DHS,Niger 1998 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Niger,562,Around 2005,2001,,"547,303",48.4,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Niger,562,Latest,2004,2003-2006,"574,650",45.8,Survey,,DHS,Niger 2006 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nigeria,566,..,1982,,"3,662,688",46.0,Survey,,WFS,Nigeria 1981-1982 World Fertility Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nigeria,566,Around 1985,1989,1987-1990,"3,624,586",38.1,Survey,,DHS,Nigeria 1990 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nigeria,566,Around 2005,2001,2000-2003,"5,283,587",41.7,Survey,,DHS,Nigeria 2003 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Nigeria,566,Latest,2007,2005-2008,"5,966,230",40.6,Survey,,DHS,Nigeria 2008 Demographic and Health Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Niue,570,Around 1970,1970,,195,38.0,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Niue,570,Around 1985,1985,,84,30.9,Registration,UNSD,,,,,Data pertain to live births recorded by year of registration.,,Population data are national estimates published by the United Nations Statistics Division.,
Niue,570,Around 1995,1995,,35,16.1,Registration,UNSD,,,Including children born in New Zealand to women resident in Niue who gave birth in New Zealand.,,,,Population data are national estimates published by the United Nations Statistics Division.,
Niue,570,Around 2005,2004,,18,10.2,Registration,UNSD,,,Including children born in New Zealand to women resident in Niue who gave birth in New Zealand.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Niue,570,Latest,2009,,31,20.0,Registration,UNSD,,,Including children born in New Zealand to women resident in Niue who gave birth in New Zealand.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Norfolk Island,574,Around 2005,2005,,25,10.5,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Norfolk Island,574,Latest,2006,,22,9.3,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Northern Mariana Islands,580,Around 1970,1970,,507,38.4,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Northern Mariana Islands,580,Around 1985,1985,,698,23.0,Registration,UNSD,,,,,Data are incomplete or of questionable reliability.,,Population data are national estimates published by the United Nations Statistics Division.,
Northern Mariana Islands,580,Around 1995,1995,,"1,624",28.2,Registration,UNSD,,,,,Data are incomplete or of questionable reliability.,,Population data are national estimates published by the United Nations Statistics Division.,
Northern Mariana Islands,580,Around 2005,2004,,"1,439",21.0,Registration,UNSD,,,,,Data are incomplete or of questionable reliability.,,Population data are national estimates published by the United Nations Statistics Division.,
Northern Mariana Islands,580,Latest,2005,,"1,335",19.8,Registration,UNSD,,,,,Data are incomplete or of questionable reliability.,,Population data are national estimates published by the United Nations Statistics Division.,
Norway,578,Around 1970,1970,,"64,551",16.7,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Norway,578,Around 1985,1985,,"51,134",12.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Norway,578,Around 1995,1995,,"60,292",13.8,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Norway,578,Around 2005,2005,,"56,756",12.3,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Norway,578,Latest,2011,,"60,220",12.2,Registration,UNSD,,,"Excluding Svalbard and Jan Mayen Island shown separately, if available.",,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Oman,512,..,1980,,"59,067",50.0,National estimates,,National statistics,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Oman,512,Around 1985,1985,,"41,000",48.0,National estimates,National statistics,National statistics,,,,,,,
Oman,512,Around 1995,1995,,"44,000",34.0,National estimates,National statistics,National statistics,,,,,,,
Oman,512,Around 2005,2006,,"49,494",19.9,National estimates,National statistics,National statistics,,,,,,,
Oman,512,Latest,2009,,"64,631",23.8,National estimates,National statistics,National statistics,,,,,,,
Pakistan,586,Around 1970,1973,1970-1975,"2,724,090",42.2,Survey,,WFS,Pakistan 1975 World Fertility Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Pakistan,586,Around 1985,1985,,"4,133,868",43.3,Survey,,National statistics,Pakistan 1984-1985 Contraceptive Prevalence Survey,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Pakistan,586,Around 1995,1995,,"4,266,463",36.6,Survey,UNSD,,Pakistan 1995 Demographic Survey,Excluding the Pakistan-held part of Jammu and Kashmir.,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Pakistan,586,Around 2005,2005,,"3,772,494",26.1,Survey,National statistics,National statistics,Pakistan 2005 Demographic Survey,Excluding the Pakistan-held part of Jammu and Kashmir.,,,,,
Pakistan,586,Latest,2005,2003-2006,"4,432,076",30.7,Survey,,DHS,Pakistan 2006-2007 Demographic and Health Survey,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Palau,585,Around 1970,1973,,413,34.3,Census,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Palau,585,Around 1985,1980,,236,17.7,Census,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Palau,585,Around 1995,1995,,399,23.3,Registration,National statistics,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Palau,585,Around 2005,2005,,279,14.0,Registration,National statistics,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Palau,585,Latest,2006,,259,12.0,Registration,UNSD,,,,,,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Panama,591,Around 1970,1970,,"53,287",35.3,Registration,UNSD,,,Excluding the former Canal Zone.,,,,Population data are national estimates published by the United Nations Statistics Division.,
Panama,591,Around 1985,1985,,"58,038",26.6,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Panama,591,Around 1995,1995,,"61,939",23.1,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Panama,591,Around 2005,2005,,"63,645",19.7,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Panama,591,Latest,2010,,"67,955",19.3,Registration,UNSD,,,,,,,Population data are national estimates published by the United Nations Statistics Division.,
Papua New Guinea,598,Around 1970,1971,,"118,272",47.5,Census,,National statistics,,,,Adjusted estimate.,,Population data are estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
